sample,tp,fp,tn-remove_depth,tn-remove_region,tn-review,fn-remove_depth,fn-remove_region,fn-review
DS-153167-0,524,1,8,20,6,3,62,52
DS-153167-1,527,0,13,16,4,1,61,52
DS-153167-2,527,2,15,14,6,1,62,51
DS-153167-3,522,1,15,15,7,6,61,52
DS-153167-4,524,1,19,21,5,6,61,50
DS-153172-0,449,0,16,25,7,9,40,55
DS-153172-1,452,0,21,22,7,5,40,56
DS-153172-2,444,1,17,10,5,16,37,56
DS-153172-3,446,0,16,17,5,11,40,56
DS-153172-4,452,0,12,16,6,5,40,56
DS-153177-0,452,1,16,13,5,8,38,43
DS-153177-1,457,0,24,14,5,2,38,44
DS-153177-2,453,0,25,21,4,7,38,43
DS-153177-3,457,0,15,14,5,1,39,44
DS-153177-4,458,0,8,14,6,1,39,43
DS-153188-0,552,0,17,12,5,12,70,63
DS-153188-1,552,0,17,9,2,16,66,63
DS-153188-2,557,0,12,14,3,12,65,63
DS-153191-0,361,2,18,12,7,7,34,34
DS-153191-1,364,1,23,18,5,3,33,36
DS-153191-2,364,2,12,16,5,1,35,36
DS-153191-3,363,2,19,10,5,4,33,36
DS-153191-4,359,3,17,16,5,6,35,36
DS-153195-0,555,3,19,25,12,9,60,56
DS-153195-1,561,1,12,18,7,0,62,57
DS-153195-2,559,0,16,17,9,4,60,57
DS-153195-3,557,1,17,11,9,4,62,57
DS-153195-4,555,1,17,30,10,8,60,57
DS-153196-0,596,0,8,12,4,15,70,62
DS-153196-1,598,0,15,11,5,10,71,64
DS-153196-2,598,0,13,11,3,14,67,64
DS-153197-0,554,2,17,19,6,1,60,52
DS-153197-1,554,1,16,25,4,2,59,52
DS-153197-2,551,1,16,17,6,8,58,50
DS-153197-3,548,3,18,18,7,11,58,50
DS-153197-4,546,2,11,15,7,10,59,52
DS-153198-0,505,0,6,12,5,13,49,63
DS-153198-1,503,0,19,15,3,14,49,64
DS-153198-2,505,0,10,14,2,15,47,63
DS-153199-0,474,0,20,17,4,10,39,59
DS-153199-1,477,1,13,17,5,7,39,59
DS-153199-2,477,0,14,8,2,8,40,57
DS-153201-0,536,1,19,16,5,11,55,61
DS-153201-1,542,0,15,16,6,2,57,62
DS-153201-2,541,1,13,12,4,4,57,61
DS-153201-3,542,1,19,19,3,3,57,61
DS-153201-4,539,1,12,17,5,7,57,60
DS-153202-0,600,0,14,12,4,4,69,62
DS-153202-1,601,1,20,10,3,3,68,63
DS-153202-2,598,1,23,14,6,5,69,63
DS-153202-3,603,0,18,26,6,0,69,63
DS-153202-4,594,1,16,20,6,9,69,63
DS-153204-0,516,0,11,21,8,0,47,61
DS-153204-1,514,1,11,25,10,2,47,61
DS-153204-2,516,0,10,21,10,1,47,60
DS-153204-3,512,0,22,19,8,5,46,61
DS-153204-4,515,1,15,12,10,3,45,61
DS-153206-0,575,0,26,14,5,9,67,57
DS-153206-1,582,0,18,21,5,1,69,56
DS-153206-2,582,1,17,21,10,0,69,57
DS-153206-3,579,0,16,20,8,7,68,54
DS-153206-4,581,1,17,17,7,4,68,55
DS-153208-0,455,1,28,17,4,3,46,51
DS-153208-1,457,0,15,18,4,1,47,50
DS-153208-2,457,1,16,18,5,2,47,49
DS-153208-3,451,0,13,10,3,8,46,50
DS-153208-4,456,0,17,17,4,5,45,49
DS-156075-0,560,0,10,26,5,2,57,72
DS-156075-1,561,0,9,28,6,1,57,72
DS-156075-2,561,0,15,24,5,1,56,73
DS-156075-3,561,0,15,24,7,0,57,73
DS-156075-4,561,1,14,25,6,2,56,72
DS-156075-5,561,1,7,25,6,1,57,72
DS-156075-6,561,0,17,24,4,2,56,72
DS-156081-0,608,0,12,10,7,1,64,64
DS-156081-1,608,0,13,18,4,3,62,64
DS-156081-2,607,1,11,17,7,4,63,63
