sample,tp,fp,tn-remove_depth,tn-remove_region,tn-review,fn-remove_depth,fn-remove_region,fn-review
DS-153167-0,641,35,0,0,0,0,0,0
DS-153167-1,641,33,0,0,0,0,0,0
DS-153167-2,641,37,0,0,0,0,0,0
DS-153167-3,641,38,0,0,0,0,0,0
DS-153167-4,641,46,0,0,0,0,0,0
DS-153172-0,553,48,0,0,0,0,0,0
DS-153172-1,553,50,0,0,0,0,0,0
DS-153172-2,553,33,0,0,0,0,0,0
DS-153172-3,553,38,0,0,0,0,0,0
DS-153172-4,553,34,0,0,0,0,0,0
DS-153177-0,541,35,0,0,0,0,0,0
DS-153177-1,541,43,0,0,0,0,0,0
DS-153177-2,541,50,0,0,0,0,0,0
DS-153177-3,541,34,0,0,0,0,0,0
DS-153177-4,541,28,0,0,0,0,0,0
DS-153188-0,697,34,0,0,0,0,0,0
DS-153188-1,697,28,0,0,0,0,0,0
DS-153188-2,697,29,0,0,0,0,0,0
DS-153191-0,436,39,0,0,0,0,0,0
DS-153191-1,436,47,0,0,0,0,0,0
DS-153191-2,436,35,0,0,0,0,0,0
DS-153191-3,436,36,0,0,0,0,0,0
DS-153191-4,436,41,0,0,0,0,0,0
DS-153195-0,680,59,0,0,0,0,0,0
DS-153195-1,680,38,0,0,0,0,0,0
DS-153195-2,680,42,0,0,0,0,0,0
DS-153195-3,680,38,0,0,0,0,0,0
DS-153195-4,680,58,0,0,0,0,0,0
DS-153196-0,743,24,0,0,0,0,0,0
DS-153196-1,743,31,0,0,0,0,0,0
DS-153196-2,743,27,0,0,0,0,0,0
DS-153197-0,667,44,0,0,0,0,0,0
DS-153197-1,667,46,0,0,0,0,0,0
DS-153197-2,667,40,0,0,0,0,0,0
DS-153197-3,667,46,0,0,0,0,0,0
DS-153197-4,667,35,0,0,0,0,0,0
DS-153198-0,630,23,0,0,0,0,0,0
DS-153198-1,630,37,0,0,0,0,0,0
DS-153198-2,630,26,0,0,0,0,0,0
DS-153199-0,582,41,0,0,0,0,0,0
DS-153199-1,582,36,0,0,0,0,0,0
DS-153199-2,582,24,0,0,0,0,0,0
DS-153201-0,663,41,0,0,0,0,0,0
DS-153201-1,663,37,0,0,0,0,0,0
DS-153201-2,663,30,0,0,0,0,0,0
DS-153201-3,663,42,0,0,0,0,0,0
DS-153201-4,663,35,0,0,0,0,0,0
DS-153202-0,735,30,0,0,0,0,0,0
DS-153202-1,735,34,0,0,0,0,0,0
DS-153202-2,735,44,0,0,0,0,0,0
DS-153202-3,735,50,0,0,0,0,0,0
DS-153202-4,735,43,0,0,0,0,0,0
DS-153204-0,624,40,0,0,0,0,0,0
